scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Emotional Support,Burnout and Exhaustion,Karthik,29,Visakhapatnam,Depleted and numb,"80% English, 20% Hindi",14,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Silent Suffering,Yash,26,Kolkata,Upset but suppressing it,"80% English, 20% Hindi",15,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Family Conflict,Pooja,30,Thane,Angry and defensive,Mostly Hinglish,11,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Family Conflict,Shanaya,21,Meerut,Angry and defensive,Mostly Hinglish,12,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Anxiety Spiral,Diya,33,Bhopal,Overthinking and catastrophizing,Regional Hinglish,10,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Burnout and Exhaustion,Riya,32,Nagpur,Depleted and numb,"80% English, 20% Hindi",10,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Loneliness at Night,Nikhil,20,Pimpri-Chinchwad,Sad and low-energy,"60% Hinglish, 40% English",13,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Acute Breakdown,Karthik,24,Rajkot,Overwhelmed and crying,Mostly Hinglish,13,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Feeling Invisible,Priyanka,19,Bangalore,Deflated and quiet,100% English,11,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Body Image Spiral,Prateek,32,Mumbai,Insecure and self-loathing,"60% Hinglish, 40% English",15,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Imposter Syndrome,Tanya,34,Meerut,Anxious and self-critical,"90% English, 10% Hindi",14,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Loneliness at Night,Yash,23,Pimpri-Chinchwad,Sad and low-energy,Mostly Hinglish,13,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Pet Illness Panic,Tanvi,33,Varanasi,Panicked and helpless,"70% English, 30% Hinglish",9,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Acute Breakdown,Priya,24,Kanpur,Overwhelmed and crying,Casual Hinglish,13,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Quarter-Life Crisis,Anjali,22,Hyderabad,Existential dread,50/50 Hinglish-English,9,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Feeling Invisible,Rakesh,33,Kolkata,Deflated and quiet,"70% English, 30% Hinglish",7,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Grief and Loss,Pooja,23,Visakhapatnam,Quietly reflective and sad,Mostly Hinglish,9,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Loneliness at Night,Isha,33,Lucknow,Sad and low-energy,Hinglish-heavy,11,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Family Conflict,Ishaan,26,Thane,Angry and defensive,100% English,9,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Loneliness at Night,Harsha,28,Rajkot,Sad and low-energy,"70% English, 30% Hinglish",12,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Anxiety Spiral,Prateek,32,Indore,Overthinking and catastrophizing,"90% English, 10% Hindi",12,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Pet Illness Panic,Sai,30,Chennai,Panicked and helpless,100% English,12,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Body Image Spiral,Vishal,21,Ahmedabad,Insecure and self-loathing,"80% English, 20% Hindi",14,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Loneliness at Night,Dia,26,Pimpri-Chinchwad,Sad and low-energy,Mostly Hinglish,7,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Post-Breakup Pain,Riya,28,Pimpri-Chinchwad,Devastated and angry,Mostly Hinglish,10,Companion knows user's ex was manipulative.,Validate anger but gently redirect away from self-blame. Use 'yaar'.
Emotional Support,Grief and Loss,Sameer,32,Vadodara,Quietly reflective and sad,100% English,6,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Financial Stress,Rohit,24,Bangalore,Overwhelmed and ashamed,"70% English, 30% Hinglish",14,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Acute Breakdown,Rakesh,32,Nashik,Overwhelmed and crying,"60% Hinglish, 40% English",14,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Quarter-Life Crisis,Rohit,19,Rajkot,Existential dread,"80% English, 20% Hindi",10,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Body Image Spiral,Saurabh,32,Varanasi,Insecure and self-loathing,"60% Hinglish, 40% English",8,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Caregiver Fatigue,Krishna,33,Pune,Exhausted and guilty,Mostly Hinglish,13,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Acute Breakdown,Varun,29,Nashik,Overwhelmed and crying,50/50 Hinglish-English,12,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Financial Stress,Isha,26,Pune,Overwhelmed and ashamed,"90% English, 10% Hindi",8,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Family Conflict,Zara,33,Nashik,Angry and defensive,100% English,12,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Caregiver Fatigue,Vimal,32,Visakhapatnam,Exhausted and guilty,"60% Hinglish, 40% English",10,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Body Image Spiral,Vimal,18,Ghaziabad,Insecure and self-loathing,50/50 Hinglish-English,8,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Imposter Syndrome,Arjun,34,Visakhapatnam,Anxious and self-critical,50/50 Hinglish-English,9,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Body Image Spiral,Tanvi,32,Nagpur,Insecure and self-loathing,"60% Hinglish, 40% English",7,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Family Conflict,Rohan,21,Patna,Angry and defensive,100% English,6,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Financial Stress,Shreya,35,Nashik,Overwhelmed and ashamed,100% English,13,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Post-Breakup Pain,Karan,30,Faridabad,Devastated and angry,Regional Hinglish,6,Companion knows user's ex was manipulative.,Validate anger but gently redirect away from self-blame. Use 'yaar'.
Emotional Support,Family Conflict,Dia,31,Bhopal,Angry and defensive,Casual Hinglish,10,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Quarter-Life Crisis,Priyanka,28,Kolkata,Existential dread,"90% English, 10% Hindi",6,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Silent Suffering,Rohit,19,Lucknow,Upset but suppressing it,50/50 Hinglish-English,15,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Acute Breakdown,Ananya,23,Chennai,Overwhelmed and crying,"60% Hinglish, 40% English",15,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Caregiver Fatigue,Kabir,21,Rajkot,Exhausted and guilty,100% English,13,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Quarter-Life Crisis,Shanaya,33,Varanasi,Existential dread,"70% English, 30% Hinglish",14,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Imposter Syndrome,Tanvi,35,Indore,Anxious and self-critical,"90% English, 10% Hindi",12,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Pet Illness Panic,Karthik,19,Varanasi,Panicked and helpless,"80% English, 20% Hindi",13,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Family Conflict,Riya,35,Bhopal,Angry and defensive,"90% English, 10% Hindi",9,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Acute Breakdown,Priyanka,28,Surat,Overwhelmed and crying,"90% English, 10% Hindi",14,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Imposter Syndrome,Karan,28,Lucknow,Anxious and self-critical,Regional Hinglish,11,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
